150,150,18,TVS1506X2ME45,45,1.8,68,2.5,58,3.55,37,2,,,,,,,,60,TVS
150,150,19,TVS1506X2ME55,55,1.8,78,2.5,68,3.55,48,2,,,,,,,,60,TVS
150,150,20,TVS1506X3ME75,75,1.8,108,2.5,98,3.55,70,3,,,,,,,,60,TVS
40,32,1,KFE32A1.1S2,1.1,0.06,53,,,,,,1,0.43,30~53,0.22,51~52,?,,50/60,KFE
40,32,2,KFE32A1.1,1.1,0.06,53,,,,,,1,0.43,30~53,0.22,51~52,87.5,,50/60,KFE
40,32,3,KFE32A1.9,1.9,0.07,67,,,,,,1,0.55,44~67,0.32,53~54,85.5,,50/60,KFE
40,40,4,KFE40A1.1,1.1,0.145,29,,,,,,1,0.22,14~29,0.09,50~52,87.5,,50/60,KFE
40,40,5,KFE40A1.5,1.5,0.14,35,,,,,,1,0.26,20~35,0.14,52~53,89.6,,50/60,KFE
40,40,6,KFE40A2.2,2.2,0.14,51,,,,,,1,0.41,30~51,0.22,53~54,89.2,,50/60,KFE
40,40,7,KFE40A3.7,3.7,0.16,71,,,,,,1,0.59,44~71,0.32,55~57,88.7,,50/60,KFE
40,40,8,KFE40A5.5,5.5,0.19,84,,,,,,1,0.71,60~84,0.45,59~61,87.9,,50/60,KFE
40,40,9,KFE40A7.5,7.5,0.15,110,,,,,,1,0.93,80~110,0.61,61~63,90.4,,50/60,KFE
40,50,10,KFE50A2.2,2.2,0.225,36,,,,,,1,0.27,20~36,0.14,53~54,89.2,,50/60,KFE
40,50,11,KFE50A3.7,3.7,0.265,54,,,,,,1,0.44,30~54,0.22,54~56,88.7,,50/60,KFE
40,50,12,KFE50A5.5,5.5,0.24,71,,,,,,1,0.59,44~71,0.32,59~61,87.9,,50/60,KFE
40,50,13,KFE50A7.5,7.5,0.28,84,,,,,,1,0.71,56~84,0.42,59~63,90.4,,50/60,KFE
50,65,14,KFE65A3.7,3.7,0.38,37,,,,,,1,0.28,20~37,0.14,55~56,88.7,,50/60,KFE
50,65,15,KFE65A5.5,5.5,0.35,55,,,,,,1,0.45,30~55,0.22,60~61,87.9,,50/60,KFE
50,65,16,KFE65A7.5,7.5,0.38,66,,,,,,1,0.54,44~66,0.33,60~61,90.4,,50/60,KFE
40,32,17,KFE32P1.1S2,1.1X2,0.12,53,,,,,,2,0.43,30~53,0.22,51~54,?,,50/60,KFE
40,32,18,KFE32P1.1,1.1X2,0.12,53,,,,,,2,0.43,30~53,0.22,51~54,91.5,,50/60,KFE
40,32,19,KFE32P1.9,1.9X2,0.14,67,,,,,,2,0.55,44~67,0.32,53~58,89.9,,50/60,KFE
50,40,20,KFE40P1.1,1.1X2,0.29,29,,,,,,2,0.22,14~29,0.09,50~56,91.5,,50/60,KFE
50,40,21,KFE40P1.5,1.5X2,0.28,35,,,,,,2,0.26,20~35,0.14,52~57,92.5,,50/60,KFE
50,40,22,KFE40P2.2,2.2X2,0.28,51,,,,,,2,0.41,30~51,0.22,53~57,91.6,,50/60,KFE
50,40,23,KFE40P3.7,3.7X2,0.32,71,,,,,,2,0.59,44~71,0.32,55~60,90.3,,50/60,KFE
50,40,24,KFE40P5.5,5.5X2,0.38,84,,,,,,2,0.71,60~84,0.45,59~64,91.4,,50/60,KFE
50,40,25,KFE40P7.5,7.5X2,0.3,110,,,,,,2,0.93,80~110,0.61,61~66,92.7,,50/60,KFE
65,50,26,KFE50P2.2,2.2X2,0.45,36,,,,,,2,0.27,20~36,0.14,53~57,91.6,,50/60,KFE
65,50,27,KFE50P3.7,3.7X2,0.53,54,,,,,,2,0.44,30~54,0.22,54~58,90.3,,50/60,KFE
65,50,28,KFE50P5.5,5.5X2,0.48,71,,,,,,2,0.59,44~71,0.32,59~64,91.4,,50/60,KFE
65,50,29,KFE50P7.5,7.5X2,0.56,84,,,,,,2,0.71,56~84,0.42,59~66,92.7,,50/60,KFE
80,65,30,KFE65P3.7,3.7X2,0.76,37,,,,,,2,0.28,20~37,0.14,55~60,90.3,,50/60,KFE
80,65,31,KFE65P5.5,5.5X2,0.7,55,,,,,,2,0.45,30~55,0.22,60~64,91.4,,50/60,KFE
80,65,32,KFE65P7.5,7.5X2,0.76,66,,,,,,2,0.54,44~66,0.33,60~65,92.7,,50/60,KFE
50,32,1,KFE32T1.1,1.1X2,0.12,53,,,,,,2,0.43,30~53,0.22,53~55,91.5,,50/60,KFE
50,32,2,KFE32T1.9,1.9X2,0.14,67,,,,,,2,0.55,44~67,0.32,51~56,89.9,,50/60,KFE
80,40,3,KFE40T1.5,1.5X2,0.28,35,,,,,,2,0.26,20~35,0.14,50~55,92.5,,50/60,KFE
